factor,model,origin,mode,contrast,est,lo,hi,p
standing,deepseek-v4-pro,CN,control,med - low,-6.25,-19.086021505376344,6.4679538160781025,0.3284
standing,deepseek-v4-pro,CN,control,high - low,3.125,-10.358520791791289,17.381439053608858,0.6672
standing,glm-5.2,CN,he,med - low,-4.6875,-10.346623563218383,0.0,0.0872
standing,glm-5.2,CN,he,high - low,0.0,-7.417910447761189,7.287981737129701,1.0
standing,glm-5.2,CN,de,med - low,6.25,-7.758868981407906,20.111396654616787,0.386
standing,glm-5.2,CN,de,high - low,15.625,0.5678108324043682,30.159313725490183,0.0432
standing,glm-5.2,CN,pg,med - low,1.5625,-14.251444193157656,16.515158086281225,0.8488
standing,glm-5.2,CN,pg,high - low,18.75,2.4044231965174143,35.37603695324283,0.022
standing,glm-5.2,CN,control,med - low,-6.25,-21.125372023809515,8.723188459000584,0.4284
standing,glm-5.2,CN,control,high - low,1.5625,-13.794493339376995,17.49400056248159,0.8372
standing,hy3,CN,he,med - low,-1.5625,-5.084745762711865,0.0,0.7304
standing,hy3,CN,he,high - low,10.9375,2.5514338445519185,19.754167356626358,0.0096
standing,hy3,CN,de,med - low,-9.375,-24.5739259143571,5.741630080445872,0.2236
standing,hy3,CN,de,high - low,-1.5625,-16.928849995554344,14.369276427360067,0.844
standing,hy3,CN,pg,med - low,0.0,-15.15154730668313,14.920197258821736,0.994
standing,hy3,CN,pg,high - low,10.9375,-5.070250012537859,26.43256244746741,0.18
standing,hy3,CN,control,med - low,-1.5625,-14.139105608322025,11.904932753813348,0.8188
standing,hy3,CN,control,high - low,0.0,-13.29733289623977,13.922711405961572,0.9944
standing,kimi-k2.6,CN,he,med - low,-1.5625,-6.896551724137931,3.5696401056570544,0.6472
standing,kimi-k2.6,CN,he,high - low,4.6875,-2.7831008059115847,12.83695652173912,0.2352
standing,kimi-k2.6,CN,de,med - low,-10.9375,-23.789309439622844,2.0740779531102054,0.0996
standing,kimi-k2.6,CN,de,high - low,9.375,-6.513381305098948,25.22094311559008,0.2384
standing,kimi-k2.6,CN,pg,med - low,1.5625,-13.021423009209096,15.996766211930137,0.8356
standing,kimi-k2.6,CN,pg,high - low,10.9375,-4.062681548123191,26.153966131907307,0.1588
standing,kimi-k2.6,CN,control,med - low,-12.5,-24.910479999206444,0.215787059521871,0.0568
standing,kimi-k2.6,CN,control,high - low,0.0,-13.739699887240867,14.516927169752883,1.0
standing,kimi-k3,CN,he,med - low,-3.125,-7.936507936507936,0.0,0.246
standing,kimi-k3,CN,he,high - low,0.0,-5.914471122647625,5.992220911054567,1.0
standing,kimi-k3,CN,de,med - low,-12.5,-21.819602272727266,-3.63459713206326,0.0048
standing,kimi-k3,CN,de,high - low,-6.25,-16.901492287055667,4.728046383348309,0.2592
standing,kimi-k3,CN,pg,med - low,6.25,-7.3182158920539715,19.778247630285517,0.3756
standing,kimi-k3,CN,pg,high - low,1.5625,-11.29077108392564,14.267548159614718,0.818
standing,kimi-k3,CN,control,med - low,-3.125,-14.378698612202149,8.636730205278585,0.6056
standing,kimi-k3,CN,control,high - low,3.125,-9.365135255980327,16.262331153176206,0.6312
standing,ling-3.0-flash,CN,he,med - low,3.125,0.0,8.064516129032258,0.2552
standing,ling-3.0-flash,CN,he,high - low,20.3125,10.9375,30.357142857142854,0.0
standing,ling-3.0-flash,CN,de,med - low,-6.25,-20.43493048936896,8.021436427831993,0.3804
standing,ling-3.0-flash,CN,de,high - low,3.125,-11.95739224543572,18.18459206899418,0.6876
standing,ling-3.0-flash,CN,pg,med - low,0.0,-15.246177395923382,15.030873097238405,0.9964
standing,ling-3.0-flash,CN,pg,high - low,9.375,-6.458362643748471,25.145190724309973,0.2388
standing,ling-3.0-flash,CN,control,med - low,-15.625,-29.21910448665092,-2.0318306010929104,0.0304
standing,ling-3.0-flash,CN,control,high - low,-4.6875,-19.417613636363633,10.638302179634229,0.5568
standing,mimo-v2.5-pro,CN,he,med - low,-3.125,-8.064516129032258,0.0,0.2872
standing,mimo-v2.5-pro,CN,he,high - low,1.5625,-4.994888409598812,8.388231567276451,0.6832
standing,mimo-v2.5-pro,CN,de,med - low,-10.9375,-21.428571428571427,-0.8198938992042524,0.034
standing,mimo-v2.5-pro,CN,de,high - low,-12.5,-22.64215526809292,-2.5489452552418594,0.008
standing,mimo-v2.5-pro,CN,pg,med - low,6.25,-6.558579953720607,19.22483555294257,0.3456
standing,mimo-v2.5-pro,CN,pg,high - low,4.6875,-8.301918808161869,17.81832204309337,0.4688
standing,mimo-v2.5-pro,CN,control,med - low,-17.1875,-29.491866413645806,-5.129527180029561,0.0044
standing,mimo-v2.5-pro,CN,control,high - low,4.6875,-10.873249299719886,20.11096710189452,0.5372
standing,minimax-m3,CN,he,med - low,-1.5625,-9.287255782816265,6.503156201996911,0.7268
standing,minimax-m3,CN,he,high - low,1.5625,-7.2392402283706625,10.529163955416546,0.7436
standing,minimax-m3,CN,de,med - low,-10.9375,-26.15487132352941,4.2765953505603385,0.16
standing,minimax-m3,CN,de,high - low,-6.25,-21.65398154652438,8.893304385831557,0.4368
standing,minimax-m3,CN,pg,med - low,3.125,-12.157756015999652,18.806366872533875,0.7052
standing,minimax-m3,CN,pg,high - low,12.5,-3.5730519480519396,28.34879411648594,0.1336
standing,minimax-m3,CN,control,med - low,-7.8125,-23.17972722004162,8.135346167916584,0.3224
standing,minimax-m3,CN,control,high - low,3.125,-13.016180415828305,19.105360295297697,0.7056
standing,qwen3.7-plus,CN,he,med - low,-1.5625,-5.172413793103448,0.0,0.7368
standing,qwen3.7-plus,CN,he,high - low,3.125,-2.7735324677088524,9.523809523809524,0.3232
standing,qwen3.7-plus,CN,de,med - low,-4.6875,-17.05490629854679,7.737295189901968,0.47
standing,qwen3.7-plus,CN,de,high - low,-3.125,-15.860556722689074,9.643013784461147,0.642
standing,qwen3.7-plus,CN,pg,med - low,-1.5625,-16.8755829999152,12.989564678330334,0.8372
standing,qwen3.7-plus,CN,pg,high - low,-1.5625,-16.386446886446887,12.945364979847723,0.8604
standing,qwen3.7-plus,CN,control,med - low,-14.0625,-28.844876829052545,0.8957615299237615,0.0628
standing,qwen3.7-plus,CN,control,high - low,0.0,-15.846276343316996,16.12088404472754,0.9884
standing,qwen3.8-27b,CN,he,med - low,0.0,-4.3478260869565215,4.477611940298507,1.0
standing,qwen3.8-27b,CN,he,high - low,6.25,-0.7143942983495216,13.846340337104593,0.0812
standing,qwen3.8-27b,CN,de,med - low,-14.0625,-25.39733057402065,-2.3743033512954947,0.0176
standing,qwen3.8-27b,CN,de,high - low,3.125,-11.358819169960475,17.449777915282976,0.6728
standing,qwen3.8-27b,CN,pg,med - low,-1.5625,-16.636795343137255,13.431326111304639,0.8484
standing,qwen3.8-27b,CN,pg,high - low,12.5,-3.358394167178633,28.61255870384003,0.1348
standing,qwen3.8-27b,CN,control,med - low,-17.1875,-32.11843818873973,-1.811222827351866,0.0284
standing,qwen3.8-27b,CN,control,high - low,-4.6875,-20.848142101990046,12.17311037020293,0.5724
standing,qwen3.8-flash,CN,he,med - low,1.5625,0.0,5.357142857142857,0.7328
standing,qwen3.8-flash,CN,he,high - low,1.5625,0.0,5.172413793103448,0.7296
standing,qwen3.8-flash,CN,de,med - low,-9.375,-21.971505836189767,2.857553366174049,0.1404
standing,qwen3.8-flash,CN,de,high - low,-10.9375,-23.333417338709676,1.1045774926744216,0.0732
standing,qwen3.8-flash,CN,pg,med - low,-6.25,-21.580855324253204,9.064355794150309,0.4168
standing,qwen3.8-flash,CN,pg,high - low,-3.125,-18.300685578855962,12.956932773109223,0.726
standing,qwen3.8-flash,CN,control,med - low,-12.5,-26.58757505934925,1.785828461819508,0.0896
standing,qwen3.8-flash,CN,control,high - low,-6.25,-20.93744416319237,8.673655203532396,0.4252
standing,seed-2-1-turbo,CN,he,med - low,0.0,0.0,0.0,1.0
standing,seed-2-1-turbo,CN,he,high - low,1.5625,0.0,5.172413793103448,0.7296
standing,seed-2-1-turbo,CN,de,med - low,-3.125,-13.702569601366358,7.052248677248663,0.5264
standing,seed-2-1-turbo,CN,de,high - low,4.6875,-7.567670493073719,16.625048584026906,0.4412
standing,seed-2-1-turbo,CN,pg,med - low,0.0,-14.332104478782654,13.626797376054798,0.9888
standing,seed-2-1-turbo,CN,pg,high - low,12.5,-2.647884527010301,27.15675242492692,0.1024
standing,seed-2-1-turbo,CN,control,med - low,-4.6875,-14.705882352941178,4.759419849916142,0.3548
standing,seed-2-1-turbo,CN,control,high - low,1.5625,-9.784073027911054,12.81269136132357,0.76
