iso3,name,axis_us,axis_cn,net_lean_us,cuadrante,eng_us,eng_cn,host_us,host_cn,unga_us,unga_cn,unga_us_raw,unga_cn_raw,sec_us,sec_cn,ally_us,ally_cn,arms_us,arms_cn,arms_ru,troops_us,trade_us,trade_cn,ideal_reldist
GMB,Gambia,0.1212,0.2924,-0.1713,no alineado (bajo con ambos),0.1212,0.2924,0.0,0.0,0.3406,0.7696,0.4306,0.7731,0.0,0.0,0.0,0.0,,,,,0.0229,0.1078,2.0803
YEM,Yemen,0.1265,0.302,-0.1755,pro-China,0.1265,0.302,0.0,0.0,0.3364,0.7452,0.4277,0.7586,0.0,0.0,0.0,0.0,,,,,0.043,0.1607,2.4936
MDG,Madagascar,0.1794,0.3567,-0.1772,pro-China,0.1794,0.3567,0.0,0.0,0.3952,0.7097,0.469,0.7377,0.0,0.0,0.0,0.0,,,,,0.1432,0.3603,2.3596
SEN,Senegal,0.1353,0.3131,-0.1778,pro-China,0.1353,0.3131,0.0,0.0,0.3432,0.75,0.4325,0.7615,0.0012,0.0112,0.0,0.0,0.0031,0.028,0.0,,0.0615,0.1782,2.5833
SSD,South Sudan,0.1732,0.3538,-0.1805,pro-China,0.1732,0.3538,0.0,0.0,0.4644,0.6054,0.5178,0.6759,0.0,0.0,0.0,0.0,,,,,0.0553,0.4558,1.6657
TLS,Timor-Leste,0.1507,0.3364,-0.1856,pro-China,0.1507,0.3364,0.0,0.0,0.4063,0.6824,0.4769,0.7215,0.0,0.0,0.0,0.0,,,,,0.0459,0.3266,1.9034
LBY,Libya,0.1332,0.3216,-0.1884,pro-China,0.1332,0.3216,0.0,0.0,0.314,0.7745,0.4119,0.776,0.0,0.0,0.0,0.0,,,,,0.0856,0.1902,2.8576
NPL,Nepal,0.1461,0.3349,-0.1888,pro-China,0.1461,0.3349,0.0,0.0,0.395,0.7133,0.4689,0.7398,0.0,0.0,0.0,0.0,,,,,0.0432,0.2914,2.4425
IDN,Indonesia,0.1712,0.3684,-0.1972,pro-China,0.1712,0.4684,0.0,0.1,0.3005,0.7725,0.4024,0.7748,0.0655,0.1237,0.0,0.2,0.1747,0.0093,0.0,,0.1477,0.5091,2.7575
ZMB,Zambia,0.151,0.3505,-0.1995,pro-China,0.151,0.3505,0.0,0.0,0.4257,0.6938,0.4906,0.7282,0.0,0.0,0.0,0.0,,,,,0.0272,0.3577,1.8858
RWA,Rwanda,0.154,0.3581,-0.2041,pro-China,0.154,0.3581,0.0,0.0,0.423,0.6721,0.4887,0.7154,0.0063,0.1244,0.0,0.0,0.0168,0.3109,0.3866,,0.0326,0.2779,1.9655
MOZ,Mozambique,0.1327,0.3398,-0.2071,pro-China,0.1327,0.3398,0.0,0.0,0.3663,0.7431,0.4487,0.7574,0.0,0.0,0.0,0.0,,,,,0.0317,0.2761,2.4113
BRN,Brunei,0.1282,0.3487,-0.2205,pro-China,0.1282,0.3487,0.0,0.0,0.342,0.784,0.4316,0.7816,0.0,0.0,0.0,0.0,,,,,0.0425,0.2621,2.7329
CAF,Central African Republic,0.152,0.3729,-0.2209,pro-China,0.152,0.3729,0.0,0.0,0.3216,0.8363,0.4173,0.8126,0.0,0.0044,0.0,0.0,0.0,0.0111,0.1333,,0.1345,0.2781,2.3911
CMR,Cameroon,0.1337,0.3556,-0.2219,pro-China,0.1337,0.3556,0.0,0.0,0.3575,0.7561,0.4425,0.7651,0.0,0.0,0.0,0.0,,,,,0.0436,0.3107,1.747
SRB,Serbia,0.2125,0.4346,-0.2221,pro-China,0.2125,0.4346,0.0,0.0,0.6006,0.6356,0.6136,0.6938,0.0014,0.4853,0.0,0.45,0.0036,0.5382,0.1882,,0.0357,0.183,0.6686
ZAF,South Africa,0.1586,0.3865,-0.228,pro-China,0.1586,0.3865,0.0,0.0,0.3198,0.7279,0.416,0.7484,0.0,0.12,0.0,0.2,0.0,0.0,0.0,,0.1559,0.3117,2.2672
BEN,Benin,0.1018,0.3346,-0.2328,pro-China,0.1018,0.3346,0.0,0.0,0.2329,0.7897,0.3548,0.785,0.0,0.0,0.0,0.0,,,,,0.0724,0.2141,1.9718
SLE,Sierra Leone,0.1678,0.4114,-0.2436,pro-China,0.1678,0.4114,0.0,0.0,0.4182,0.7009,0.4852,0.7324,0.0,0.0,0.0,0.0,,,,,0.0853,0.5333,2.0956
GIN,Guinea,0.1341,0.3842,-0.2501,pro-China,0.1341,0.3842,0.0,0.0,0.3813,0.7537,0.4593,0.7637,0.0,0.0,0.0,0.0,,,,,0.0211,0.399,2.6357
NGA,Nigeria,0.1558,0.4063,-0.2505,pro-China,0.1558,0.4063,0.0,0.0,0.3288,0.7568,0.4223,0.7655,0.0116,0.2205,0.0,0.15,0.0308,0.3263,0.0341,,0.127,0.2415,2.5573
UGA,Uganda,0.1065,0.3678,-0.2614,pro-China,0.1065,0.3678,0.0,0.0,0.2678,0.8379,0.3794,0.8135,0.011,0.0023,0.0,0.0,0.0292,0.0058,0.3801,,0.0407,0.2633,2.4709
GNB,Guinea-Bissau,0.079,0.3587,-0.2796,pro-China,0.079,0.3587,0.0,0.0,0.2369,0.8454,0.3576,0.818,0.0,0.0,0.0,0.0,,,,,0.0002,0.2306,2.3964
BGD,Bangladesh,0.1865,0.4664,-0.2799,pro-China,0.1865,0.4664,0.0,0.0,0.3579,0.7508,0.4428,0.762,0.0124,0.3156,0.0,0.2,0.033,0.489,0.0,,0.1891,0.3327,2.498
TCD,Chad,0.1431,0.4234,-0.2803,pro-China,0.1431,0.4234,0.0,0.0,0.3796,0.7512,0.4581,0.7622,0.0109,0.1126,0.0,0.0,0.0291,0.2816,0.0,,0.0388,0.4063,2.3012
DJI,Djibouti,0.149,0.4415,-0.2925,pro-China,0.149,0.4415,0.0,0.0,0.3329,0.7526,0.4252,0.763,0.0873,0.3555,0.0,0.35,0.0,0.3636,0.0,0.4367,0.0268,0.2165,2.4777
BDI,Burundi,0.0883,0.3838,-0.2955,pro-China,0.0883,0.3838,0.0,0.0,0.2435,0.8569,0.3623,0.8248,0.0,0.0,0.0,0.0,,,,,0.0215,0.2946,3.0597
IRQ,Iraq,0.1655,0.4683,-0.3028,pro-China,0.1655,0.4683,0.0,0.0,0.3116,0.7858,0.4102,0.7827,0.0683,0.0142,0.0,0.0,0.1822,0.0356,0.0,,0.1166,0.6047,2.7891
DZA,Algeria,0.1211,0.4262,-0.305,pro-China,0.1211,0.4262,0.0,0.0,0.2551,0.8077,0.3705,0.7956,0.0226,0.2543,0.0,0.3,0.0603,0.1856,0.5003,,0.0857,0.2165,2.9855
BOL,Bolivia,0.1208,0.4395,-0.3187,pro-China,0.1208,0.4395,0.0,0.0,0.2597,0.7978,0.3736,0.7898,0.0,0.2,0.0,0.2,,,,,0.1026,0.3206,3.0597
KAZ,Kazakhstan,0.1242,0.4437,-0.3195,pro-China,0.1242,0.4437,0.0,0.0,0.3303,0.79,0.4234,0.7852,0.0,0.2106,0.0,0.35,0.0,0.0015,0.8584,,0.0423,0.3305,2.3642
TZA,Tanzania,0.1492,0.4835,-0.3343,pro-China,0.1492,0.4835,0.0,0.0,0.4037,0.7373,0.4751,0.754,0.0,0.3285,0.0,0.25,0.0,0.4462,0.0,,0.0437,0.3847,2.45
GAB,Gabon,0.0964,0.4475,-0.3511,pro-China,0.0964,0.4475,0.0,0.0,0.2168,0.8712,0.3435,0.8333,0.0,0.0,0.0,0.0,,,,,0.0725,0.4713,2.3787
MRT,Mauritania,0.1201,0.4767,-0.3566,pro-China,0.1201,0.4767,0.0,0.0,0.3243,0.7844,0.4192,0.7819,0.0,0.3761,0.0,0.0,0.0,0.9403,0.0,,0.036,0.2695,2.6416
COG,Congo - Brazzaville,0.1221,0.4799,-0.3578,pro-China,0.1221,0.4799,0.0,0.0,0.3262,0.7557,0.4205,0.7649,0.0,0.0,0.0,0.0,,,,,0.04,0.6839,2.4724
SOM,Somalia,0.0775,0.4418,-0.3644,pro-China,0.0775,0.4418,0.0,0.0,0.205,0.8916,0.3352,0.8453,0.0,0.0,0.0,0.0,,,,,0.0274,0.4339,2.8108
AGO,Angola,0.1441,0.517,-0.3729,pro-China,0.1441,0.517,0.0,0.0,0.3611,0.7308,0.4451,0.7501,0.0,0.0796,0.0,0.0,0.0,0.1991,0.0,,0.071,0.7406,2.6424
PAK,Pakistan,0.2728,0.6488,-0.376,doble juego (hedger),0.2728,0.6488,0.0,0.0,0.3303,0.8572,0.4234,0.8249,0.314,0.7061,0.5,0.65,0.0041,0.7903,0.0139,,0.1741,0.3831,2.0269
AZE,Azerbaijan,0.0651,0.4437,-0.3786,pro-China,0.0651,0.4437,0.0,0.0,0.1479,0.9443,0.295,0.8765,0.0037,0.2665,0.0,0.3,0.01,0.2163,0.0,,0.0436,0.1202,2.6736
GNQ,Equatorial Guinea,0.1066,0.5243,-0.4177,pro-China,0.1066,0.5243,0.0,0.0,0.2275,0.8871,0.351,0.8426,0.0,0.25,0.0,0.25,,,,,0.0923,0.4359,2.5636
KHM,Cambodia,0.2383,0.6588,-0.4205,pro-China,0.2383,0.6588,0.0,0.0,0.3479,0.7969,0.4357,0.7893,0.0,0.6783,0.0,0.5,0.0,0.9457,0.0465,,0.367,0.5014,2.5236
UZB,Uzbekistan,0.1081,0.529,-0.4209,pro-China,0.1081,0.529,0.0,0.0,0.3062,0.8165,0.4064,0.8009,0.0,0.3511,0.0,0.35,0.0,0.3527,0.442,,0.018,0.4193,2.7568
ETH,Ethiopia,0.1344,0.5655,-0.4311,pro-China,0.1344,0.5655,0.0,0.0,0.2729,0.798,0.383,0.7899,0.0,0.3303,0.0,0.3,0.0,0.3756,0.5127,,0.1304,0.5683,2.7215
COD,Congo - Kinshasa,0.1702,0.6067,-0.4366,pro-China,0.1702,0.6067,0.0,0.0,0.489,0.7002,0.5351,0.732,0.0,0.12,0.0,0.0,0.0,0.3,0.0,,0.0215,1.0,1.9596
KGZ,Kyrgyzstan,0.0997,0.5921,-0.4924,pro-China,0.0997,0.5921,0.0,0.0,0.256,0.8723,0.371,0.8339,0.0,0.21,0.0,0.35,0.0,0.0,0.137,,0.0431,0.694,2.6939
TJK,Tajikistan,0.099,0.603,-0.504,pro-China,0.099,0.603,0.0,0.0,0.2489,0.8536,0.366,0.8228,0.0,0.5946,0.0,0.35,0.0,0.9615,0.0385,,0.0482,0.3609,2.913
MNG,Mongolia,0.1332,0.6464,-0.5132,pro-China,0.1332,0.6464,0.0,0.0,0.3764,0.7393,0.4558,0.7552,0.0,0.2,0.0,0.2,,,,,0.0232,1.0,2.4297
LAO,Laos,0.1131,0.63,-0.5169,pro-China,0.1131,0.63,0.0,0.0,0.3052,0.8051,0.4057,0.7941,0.0,0.4,0.0,0.4,,,,,0.0341,0.6848,2.9252
SYR,Syria,-0.1987,0.3319,-0.5306,rival de EEUU,0.0013,0.3319,0.2,0.0,0.0,0.877,0.1908,0.8367,0.0,0.0,0.0,0.0,0.0,0.0,0.9775,,0.0039,0.1186,3.0597
SLB,Solomon Islands,0.1166,0.6596,-0.543,pro-China,0.1166,0.6596,0.0,0.0,0.3216,0.7816,0.4173,0.7802,0.0,0.35,0.0,0.35,,,,,0.0282,0.8471,2.4984
NER,Niger,-0.1422,0.4436,-0.5858,rival de EEUU,0.1578,0.4436,0.3,0.0,0.3157,0.7933,0.4131,0.7871,0.1184,0.12,0.0,0.2,0.3158,0.0,0.1579,,0.0394,0.4175,3.0597
AFG,Afghanistan,-0.2052,0.3856,-0.5908,rival de EEUU,0.2948,0.3856,0.5,0.0,0.4923,0.7095,0.5374,0.7375,0.375,0.12,0.0,0.2,1.0,0.0,0.0,,0.0171,0.3272,
SDN,Sudan,-0.2136,0.416,-0.6296,rival de EEUU,0.0864,0.416,0.3,0.0,0.2444,0.8111,0.3629,0.7977,0.0,0.12,0.0,0.2,0.0,0.0,0.0,,0.0149,0.3169,3.0597
MLI,Mali,-0.2175,0.427,-0.6445,rival de EEUU,0.0825,0.427,0.3,0.0,0.2208,0.8793,0.3463,0.838,0.0,0.1836,0.0,0.2,0.0,0.1589,0.4019,,0.0268,0.2182,3.0597
BFA,Burkina Faso,-0.211,0.4422,-0.6532,rival de EEUU,0.089,0.4422,0.3,0.0,0.2135,0.8561,0.3411,0.8243,0.0029,0.3185,0.0,0.2,0.0076,0.4962,0.0,,0.0506,0.1519,3.0597
NIC,Nicaragua,-0.2044,0.4631,-0.6675,rival de EEUU,0.1956,0.4631,0.4,0.0,0.0748,0.8838,0.2435,0.8407,0.0,0.35,0.0,0.35,,,,,0.5121,0.1556,3.0597
TKM,Turkmenistan,0.0187,0.7167,-0.6979,pro-China,0.0187,0.7167,0.0,0.0,0.0286,1.0,0.2109,0.9095,0.0177,0.15,0.0,0.25,0.0471,0.0,0.0052,,0.01,1.0,3.0597
ZWE,Zimbabwe,-0.1953,0.5076,-0.7029,rival de EEUU,0.0547,0.5076,0.25,0.0,0.1558,0.9295,0.3006,0.8678,0.0,0.3,0.0,0.3,,,,,0.0082,0.2931,3.0597
MMR,Myanmar,-0.1878,0.5238,-0.7115,rival de EEUU,0.1622,0.5238,0.35,0.0,0.4392,0.668,0.5001,0.7129,0.0,0.3685,0.0,0.4,0.0,0.3212,0.4707,,0.0475,0.5348,1.5765
ERI,Eritrea,-0.153,0.6912,-0.8442,rival de EEUU,0.097,0.6912,0.25,0.0,0.2402,0.8237,0.3599,0.8052,0.0,0.25,0.0,0.25,,,,,0.0509,1.0,3.0597
BLR,Belarus,-0.4408,0.4438,-0.8846,rival de EEUU,0.0592,0.4438,0.5,0.0,0.17,0.8384,0.3105,0.8138,0.0,0.33,0.0,0.55,0.0,0.0,0.9993,,0.0077,0.1631,3.0527
CUB,Cuba,-0.5657,0.5539,-1.1196,rival de EEUU,0.1343,0.5539,0.7,0.0,0.1391,0.8993,0.2888,0.8499,0.1313,0.4,0.0,0.4,,,,0.4597,0.1324,0.3624,3.0597
RUS,Russia,-0.8083,0.6133,-1.4216,rival de EEUU,0.0417,0.6133,0.85,0.0,0.1055,0.8225,0.2651,0.8044,0.0019,0.4337,0.0,0.7,0.0051,0.0342,0.0,,0.0178,0.5838,2.5496
IRN,Iran,-0.9706,0.5759,-1.5465,rival de EEUU,0.0294,0.5759,1.0,0.0,0.0841,0.8888,0.2501,0.8437,0.0,0.27,0.0,0.45,0.0,0.0,1.0,,0.004,0.5689,3.0597
PRK,North Korea,-0.8423,0.9745,-1.8168,rival de EEUU,0.0077,0.9745,0.85,0.0,0.0224,0.9234,0.2066,0.8642,0.0,1.0,0.0,1.0,,,,,0.0006,1.0,2.9407
