set,mode,model,origin,a,b,n,bias,abs_bias,null_expected,excess
neutral,pg,grok-4.3,US,9,12,21,-0.14285714285714285,0.14285714285714285,0.17619705200195307,-0.03333990914481022
neutral,pg,haiku-4.5,US,14,15,29,-0.034482758620689655,0.034482758620689655,0.14944598078727722,-0.11496322216658757
neutral,pg,inkling,US,11,6,17,0.29411764705882354,0.29411764705882354,0.196380615234375,0.09773703182444854
neutral,pg,nemotron-3-ultra,US,17,13,30,0.13333333333333333,0.13333333333333333,0.14446444809436798,-0.01113111476103465
neutral,pg,nemotron-3.5-lightning,US,4,5,9,-0.1111111111111111,0.1111111111111111,0.27343750000000006,-0.16232638888888895
neutral,pg,nova-2-lite,US,18,5,23,0.5652173913043478,0.5652173913043478,0.16818809509277338,0.3970292962115744
neutral,pg,sonnet-5,US,20,22,42,-0.047619047619047616,0.047619047619047616,0.12238567124768449,-0.07476662362863687
neutral,pg,deepseek-v4-pro,CN,7,9,16,-0.125,0.125,0.196380615234375,-0.071380615234375
neutral,pg,glm-5.2,CN,16,10,26,0.23076923076923078,0.23076923076923078,0.1549810171127319,0.07578821365649888
neutral,pg,hy3,CN,14,11,25,0.12,0.12,0.16118025779724118,-0.04118025779724119
neutral,pg,kimi-k2.6,CN,19,19,38,0.0,0.0,0.128585320635466,-0.128585320635466
neutral,pg,kimi-k3,CN,9,13,22,-0.18181818181818182,0.18181818181818182,0.16818809509277324,0.01363008672540858
neutral,pg,ling-3.0-flash,CN,10,13,23,-0.13043478260869565,0.13043478260869565,0.16818809509277338,-0.03775331248407773
neutral,pg,mimo-v2.5-pro,CN,4,7,11,-0.2727272727272727,0.2727272727272727,0.24609375000000008,0.026633522727272624
neutral,pg,minimax-m3,CN,24,20,44,0.09090909090909091,0.09090909090909091,0.11960417871932792,-0.02869508781023701
neutral,pg,qwen3.7-plus,CN,17,14,31,0.0967741935483871,0.0967741935483871,0.14446444809436798,-0.04769025454598089
neutral,pg,qwen3.8-27b,CN,11,21,32,-0.3125,0.3125,0.13994993409141895,0.17255006590858105
neutral,pg,qwen3.8-flash,CN,16,20,36,-0.1111111111111111,0.1111111111111111,0.13206059957155955,-0.020949488460448445
neutral,pg,seed-2-1-turbo,CN,8,7,15,0.06666666666666667,0.06666666666666667,0.20947265625,-0.14280598958333335
neutral,control,gemini-3.1-flash-lite,US,4,1,5,0.6,0.6,0.37499999999999994,0.22500000000000003
neutral,control,gemma-4-31b,US,2,1,3,0.3333333333333333,0.3333333333333333,0.5000000000000001,-0.1666666666666668
neutral,control,gpt-5.6-luna,US,5,7,12,-0.16666666666666666,0.16666666666666666,0.22558593750000008,-0.058919270833333426
neutral,control,gpt-5.6-sol,US,6,6,12,0.0,0.0,0.22558593750000008,-0.22558593750000008
neutral,control,gpt-5.6-terra,US,7,9,16,-0.125,0.125,0.196380615234375,-0.071380615234375
neutral,control,grok-4.3,US,7,12,19,-0.2631578947368421,0.2631578947368421,0.1854705810546875,0.07768731368215459
neutral,control,haiku-4.5,US,8,5,13,0.23076923076923078,0.23076923076923078,0.22558593750000014,0.005183293269230643
neutral,control,inkling,US,5,2,7,0.42857142857142855,0.42857142857142855,0.3125,0.11607142857142855
neutral,control,nemotron-3-ultra,US,4,10,14,-0.42857142857142855,0.42857142857142855,0.20947265624999994,0.2190987723214286
neutral,control,nemotron-3.5-lightning,US,3,3,6,0.0,0.0,0.3125000000000003,-0.3125000000000003
neutral,control,nova-2-lite,US,11,10,21,0.047619047619047616,0.047619047619047616,0.17619705200195307,-0.12857800438290545
neutral,control,sonnet-5,US,8,8,16,0.0,0.0,0.196380615234375,-0.196380615234375
neutral,control,deepseek-v4-pro,CN,6,5,11,0.09090909090909091,0.09090909090909091,0.24609375000000008,-0.15518465909090917
neutral,control,glm-5.2,CN,8,12,20,-0.2,0.2,0.17619705200195318,0.02380294799804683
neutral,control,hy3,CN,17,11,28,0.21428571428571427,0.21428571428571427,0.14944598078727717,0.06483973349843711
neutral,control,kimi-k2.6,CN,13,11,24,0.08333333333333333,0.08333333333333333,0.16118025779724135,-0.07784692446390802
neutral,control,kimi-k3,CN,6,5,11,0.09090909090909091,0.09090909090909091,0.24609375000000008,-0.15518465909090917
neutral,control,ling-3.0-flash,CN,10,12,22,-0.09090909090909091,0.09090909090909091,0.16818809509277324,-0.07727900418368233
neutral,control,mimo-v2.5-pro,CN,8,0,8,1.0,1.0,0.2734375,0.7265625
neutral,control,minimax-m3,CN,17,15,32,0.0625,0.0625,0.13994993409141895,-0.07744993409141895
neutral,control,qwen3.7-plus,CN,15,8,23,0.30434782608695654,0.30434782608695654,0.16818809509277338,0.13615973099418316
neutral,control,qwen3.8-27b,CN,12,11,23,0.043478260869565216,0.043478260869565216,0.16818809509277338,-0.12470983422320817
neutral,control,qwen3.8-flash,CN,12,7,19,0.2631578947368421,0.2631578947368421,0.1854705810546875,0.07768731368215459
neutral,control,seed-2-1-turbo,CN,6,8,14,-0.14285714285714285,0.14285714285714285,0.20947265624999994,-0.0666155133928571
